belief state[non-destination destination-city],action[0-Moving/1-unloading],alpha-vector[non-destination destination-city],observation(0-non-destination/1-destination-city
[0.8 0.2],0,[0.95 0.  ],0
[0.33009709 0.66990291],0,[0.95 0.  ],1
[0.00598802 0.99401198],1,[-9.5   0.95],None
[0.5 0.5],0,[0.95 0.  ],0
[0.22972973 0.77027027],0,[0.95 0.  ],1
[0.00413223 0.99586777],1,[-9.5   0.95],None
[0.2 0.8],0,[0.95 0.  ],0
[0.10365854 0.89634146],0,[0.95 0.  ],1
[0.00184502 0.99815498],1,[-9.5   0.95],None
[0.2 0.8],0,[0.95 0.  ],0
[0.10365854 0.89634146],0,[0.95 0.  ],1
[0.00184502 0.99815498],1,[-9.5   0.95],None
[0.10042224 0.89957776],0,[0.95 0.  ],0
[0.0543585 0.9456415],1,[-9.5   0.95],None
[0.93106634 0.06893366],0,[0.95 0.  ],0
[0.36779723 0.63220277],0,[0.95 0.  ],1
[0.00669327 0.99330673],1,[-9.5   0.95],None
[0.16838654 0.83161346],0,[0.95 0.  ],0
[0.08846725 0.91153275],0,[0.95 0.  ],1
[0.00157264 0.99842736],1,[-9.5   0.95],None
[0.57084888 0.42915112],0,[0.95 0.  ],0
[0.25543432 0.74456568],0,[0.95 0.  ],0
[0.12932967 0.87067033],0,[0.95 0.  ],0
[0.06911543 0.93088457],1,[-9.5   0.95],None
[0.83876128 0.16123872],0,[0.95 0.  ],0
[0.34159161 0.65840839],0,[0.95 0.  ],1
[0.00620257 0.99379743],1,[-9.5   0.95],None
[0.10776464 0.89223536],0,[0.95 0.  ],0
[0.05814263 0.94185737],1,[-9.5   0.95],None
[0.37701682 0.62298318],0,[0.95 0.  ],0
[0.18167819 0.81832181],0,[0.95 0.  ],0
[0.09490466 0.90509534],0,[0.95 0.  ],0
[0.0514985 0.9485015],1,[-9.5   0.95],None
[0.55159733 0.44840267],0,[0.95 0.  ],0
[0.24858344 0.75141656],0,[0.95 0.  ],1
[0.00447845 0.99552155],1,[-9.5   0.95],None
[0.90378473 0.09621527],0,[0.95 0.  ],0
[0.36021723 0.63978277],0,[0.95 0.  ],1
[0.00655111 0.99344889],1,[-9.5   0.95],None
[0.27179796 0.72820204],0,[0.95 0.  ],0
[0.1366822 0.8633178],0,[0.95 0.  ],1
[0.0024395 0.9975605],1,[-9.5   0.95],None
[0.10042224 0.89957776],0,[0.95 0.  ],0
[0.0543585 0.9456415],1,[-9.5   0.95],None
[0.93106634 0.06893366],0,[0.95 0.  ],0
[0.36779723 0.63220277],0,[0.95 0.  ],1
[0.00669327 0.99330673],1,[-9.5   0.95],None
[0.10042224 0.89957776],0,[0.95 0.  ],0
[0.0543585 0.9456415],1,[-9.5   0.95],None
[0.93106634 0.06893366],0,[0.95 0.  ],0
[0.36779723 0.63220277],0,[0.95 0.  ],1
[0.00669327 0.99330673],1,[-9.5   0.95],None
[0.16838654 0.83161346],0,[0.95 0.  ],0
[0.08846725 0.91153275],0,[0.95 0.  ],1
[0.00157264 0.99842736],1,[-9.5   0.95],None
[0.57084888 0.42915112],0,[0.95 0.  ],0
[0.25543432 0.74456568],0,[0.95 0.  ],0
[0.12932967 0.87067033],0,[0.95 0.  ],0
[0.06911543 0.93088457],1,[-9.5   0.95],None
[0.83876128 0.16123872],0,[0.95 0.  ],0
[0.34159161 0.65840839],0,[0.95 0.  ],1
[0.00620257 0.99379743],1,[-9.5   0.95],None
[0.10776464 0.89223536],0,[0.95 0.  ],0
[0.05814263 0.94185737],1,[-9.5   0.95],None
[0.37701682 0.62298318],0,[0.95 0.  ],0
[0.18167819 0.81832181],0,[0.95 0.  ],0
[0.09490466 0.90509534],0,[0.95 0.  ],0
[0.0514985 0.9485015],1,[-9.5   0.95],None
[0.55159733 0.44840267],0,[0.95 0.  ],0
[0.24858344 0.75141656],0,[0.95 0.  ],1
[0.00447845 0.99552155],1,[-9.5   0.95],None
[0.90378473 0.09621527],0,[0.95 0.  ],0
[0.36021723 0.63978277],0,[0.95 0.  ],1
[0.00655111 0.99344889],1,[-9.5   0.95],None
[0.27179796 0.72820204],0,[0.95 0.  ],0
[0.1366822 0.8633178],0,[0.95 0.  ],1
[0.0024395 0.9975605],1,[-9.5   0.95],None
[0.93077139 0.06922861],0,[0.95 0.  ],0
[0.367716 0.632284],0,[0.95 0.  ],0
[0.17785273 0.82214727],0,[0.95 0.  ],0
[0.09305947 0.90694053],0,[0.95 0.  ],1
[0.00165491 0.99834509],1,[-9.5   0.95],None
[0.96134721 0.03865279],0,[0.95 0.  ],0
[0.37605455 0.62394545],0,[0.95 0.  ],1
[0.00684834 0.99315166],1,[-9.5   0.95],None
[0.06406103 0.93593897],1,[-9.5   0.95],None
[0.32695124 0.67304876],0,[0.95 0.  ],0
[0.16074616 0.83925384],0,[0.95 0.  ],1
[0.00287475 0.99712525],1,[-9.5   0.95],None
[0.33829186 0.66170814],0,[0.95 0.  ],0
[0.16556159 0.83443841],0,[0.95 0.  ],1
[0.00296206 0.99703794],1,[-9.5   0.95],None
[0.43435558 0.56564442],0,[0.95 0.  ],0
[0.20465202 0.79534798],0,[0.95 0.  ],1
[0.00367342 0.99632658],1,[-9.5   0.95],None
[0.85806863 0.14193137],0,[0.95 0.  ],0
[0.34720635 0.65279365],0,[0.95 0.  ],1
[0.00630752 0.99369248],1,[-9.5   0.95],None
[0.52768708 0.47231292],0,[0.95 0.  ],0
[0.23993719 0.76006281],0,[0.95 0.  ],1
[0.00431954 0.99568046],1,[-9.5   0.95],None
[0.28806172 0.71193828],0,[0.95 0.  ],0
[0.14389178 0.85610822],0,[0.95 0.  ],1
[0.00256972 0.99743028],1,[-9.5   0.95],None
[0.48392759 0.51607241],0,[0.95 0.  ],0
[0.22370556 0.77629444],0,[0.95 0.  ],1
[0.00402184 0.99597816],1,[-9.5   0.95],None
[0.43025345 0.56974655],0,[0.95 0.  ],1
[0.00787162 0.99212838],1,[-9.5   0.95],None
[0.81501083 0.18498917],0,[0.95 0.  ],0
[0.33458424 0.66541576],0,[0.95 0.  ],1
[0.00607173 0.99392827],1,[-9.5   0.95],None
[0.56663191 0.43336809],0,[0.95 0.  ],1
[0.01048884 0.98951116],1,[-9.5   0.95],None
[0.18390416 0.81609584],0,[0.95 0.  ],0
[0.09597555 0.90402445],0,[0.95 0.  ],1
[0.00170718 0.99829282],1,[-9.5   0.95],None
[0.91543531 0.08456469],0,[0.95 0.  ],0
[0.3634708 0.6365292],0,[0.95 0.  ],1
[0.00661211 0.99338789],1,[-9.5   0.95],None
[0.86282845 0.13717155],0,[0.95 0.  ],0
[0.34857946 0.65142054],0,[0.95 0.  ],1
[0.00633321 0.99366679],1,[-9.5   0.95],None
[0.35430247 0.64569753],0,[0.95 0.  ],1
[0.00644031 0.99355969],1,[-9.5   0.95],None
[0.53871408 0.46128592],0,[0.95 0.  ],1
[0.00994806 0.99005194],1,[-9.5   0.95],None
[0.09403842 0.90596158],0,[0.95 0.  ],0
[0.05104821 0.94895179],1,[-9.5   0.95],None
[0.25763188 0.74236812],0,[0.95 0.  ],0
[0.13032291 0.86967709],0,[0.95 0.  ],1
[0.00232477 0.99767523],1,[-9.5   0.95],None
[0.75271048 0.24728952],0,[0.95 0.  ],1
[0.01416093 0.98583907],1,[-9.5   0.95],None
